,id,path,question,a,b,c,d,answer
596,train_0597,train/train_0597.jpg,How is the food in this picture packaged?,Pack in a plastic container,Pack in Paper Envelope,A vacuum package in a plastic bag,Pack in Paper Box,c
597,train_0598,train/train_0598.jpg,What is the flower that you see in this picture?,Tulip,Rose.,The cherry blossom,Sunflowers,c
598,train_0599,train/train_0599.jpg,What is this product?,Sausage,Pizza.,hamburgers,Kimbab.,a
599,train_0600,train/train_0600.jpg,What's the food you see in the picture?,Sausage,Cheese.,bacon,hamburger Patti.,a
600,train_0601,train/train_0601.jpg,What's the main ingredient for food in this picture?,Fish,Chicken.,Pork,The beef.,d
601,train_0602,train/train_0602.jpg,What's the main thing that we're dealing with here?,My Classroom Cleaning Method,The rules for using playgrounds.,"Faces, hands and arms, damage parts of the waist and legs, and causes",Guide to the school feeding menu,c
602,train_0603,train/train_0603.jpg,What are the products that you see in this image?,Cell phone charger,USB Memory,earphone,Cell phone battery,a
603,train_0604,train/train_0604.jpg,Where did you take this picture?,The basketball field.,The football field.,The pool.,Baseball,d
604,train_0605,train/train_0605.jpg,What does the knitting in this picture look like?,The cake.,Beetle,Flowers,Apologize.,a
605,train_0606,train/train_0606.jpg,What's the fruit next to the cat in the picture?,Grapes,Orange,Apologize.,Banana,b
606,train_0607,train/train_0607.jpg,What are the animals you see in the picture?,Puppy,Cat.,Rabbit.,hamster.,b
607,train_0608,train/train_0608.jpg,What is this food?,Ramon,Kimchichichichig,Bibimbop,Tendong,d
608,train_0609,train/train_0609.jpg,What is the correct color combination of chairs placed around the table in this picture?,Four greens.,Two yellows and two blues.,Four blues.,Two greens and two blues.,d
609,train_0610,train/train_0610.jpg,What brand do these images have to do with?,Nintendo character,Disney's character.,Pocketmon character,Sanio character,d
610,train_0611,train/train_0611.jpg,What's the behavior of the two cats in the picture?,I'm asleep.,They're smelling each other.,I'm feeding you.,I'm fighting.,b
611,train_0612,train/train_0612.jpg,What's the cat doing in the picture?,I'm yawning.,I'm standing my ear.,Close one eye.,I'm blinking.,c
612,train_0613,train/train_0613.jpg,Where's the little animal in the picture?,Above the table,By the bed.,In front of the window.,In the corner of the paperbox,d
613,train_0614,train/train_0614.jpg,What is this food?,Kimbab.,Knife Water,The beef.,Bibimbop,b
614,train_0615,train/train_0615.jpg,What is the food in this picture?,You're a dead man.,Tattoos,Bibimbop,Fuck you.,a
615,train_0616,train/train_0616.jpg,What's the name of this food?,Kim Chick.,Squeeze,Tang Soil,Bibimbop,c
616,train_0617,train/train_0617.jpg,What's the name of this food?,The beef.,Chicken Garvey,Bibimbop,Kimchichichichig,b
617,train_0618,train/train_0618.jpg,What's not the dessert type that you see in this picture?,Ice America,Mango cake.,strawberries tarts,Chocolate cake.,c
618,train_0619,train/train_0619.jpg,What are the animals in this picture?,Cat.,Squirrels,Rabbit.,Puppy,a
619,train_0620,train/train_0620.jpg,What's the best time for this picture to be taken?,In the middle of the night.,Early in the morning.,"By the end of the night,",It's lunch time.,c
620,train_0621,train/train_0621.jpg,What's the shape of the tree on the side of the road that you see in this picture?,Star Appearance,Rectangle Appearance,Triangle shape,Circular,d
621,train_0622,train/train_0622.jpg,What is this food?,Pocket,Garvey.,Six Sessions,The beef.,c
622,train_0623,train/train_0623.jpg,What are the food ingredients that you see in this picture?,It's raw meat and garlic.,Chicken and onions.,Pork and carrots.,Fish and garlic,a
623,train_0624,train/train_0624.jpg,What are the main ingredients for the food in this picture?,Almond.,Banana,Oreo Cookie.,Glimps,c
624,train_0625,train/train_0625.jpg,What's the name of the apartment that you see here?,Samsung Town,Lotde Castle.,Modern Helstadt,SK VIEW,d
625,train_0626,train/train_0626.jpg,What doesn't seem to be the main ingredient in this food?,Papa.,A mushroom.,The beef.,The squid.,c
626,train_0627,train/train_0627.jpg,What's the name of the cookie that you see in this image?,"Oh, my God.",Zero Sugar.,It's Eddie.,Americano.,a
627,train_0628,train/train_0628.jpg,What's a jelly brand among the snacks in this image?,Viyoria,Specta,gangs,HARIBO,d
628,train_0629,train/train_0629.jpg,What is this product about?,New Year's Dyary,Summer Sun - Cream,Halloween decorations.,Christmas Deputer.,d
629,train_0630,train/train_0630.jpg,What's the phrase in the cup?,A cup of warm tea.,A happy day begins.,There's a good coffee flavor in the forest.,Coffee is life's energy.,c
630,train_0631,train/train_0631.jpg,What do you see on this laptop screen on this table?,Summer picnic scene,City night.,Space Photo,The beach scene.,a
631,train_0632,train/train_0632.jpg,What kind of place is this picture showing?,Museum of Art.,School classroom.,Café,Library,c
632,train_0633,train/train_0633.jpg,What are the animals you see in this picture?,Bird,Puppy,Cat.,Rabbit.,c
633,train_0634,train/train_0634.jpg,How is the computer monitor in this room placed?,"One is horizontal, the other is vertical.",We're only using one monitor.,"Two monitors have been placed side by side, side by side.",The monitor is on the floor.,a
634,train_0635,train/train_0635.jpg,What's a finger gesture in the picture?,Powdering.,Finger Heart,B-signed,You're a big boy.,d
635,train_0636,train/train_0636.jpg,What's invisible on this table?,Smartphone,earphone,Mouse,Keyboard,a
636,train_0637,train/train_0637.jpg,What's not on this table?,Pencil,earphone,Drink cans.,BOLFEN,a
637,train_0638,train/train_0638.jpg,What's the phrase on the mouse pad that you see on the table?,Let's study hard.,Success is the result of effort.,Have a happy day.,Starts to make dreams real.,d
638,train_0639,train/train_0639.jpg,What are the insects in the picture?,Ladybugs,Long - lived scarab beetle,The deer beetle.,Butterflies,c
639,train_0640,train/train_0640.jpg,What are some of the decorations that you can usually see in this picture?,Santa Claus.,Snow Man’s Puppet,Plumbing of socks,Christmas Tree,a
640,train_0641,train/train_0641.jpg,What is the animal in this picture?,Crows.,Penguin.,Parrot,Pigeons,b
641,train_0642,train/train_0642.jpg,What's the red shape on the cake that you see in this picture?,Heart-shaped seconds,Rose petals,Apple - shaped decorations,The strawberries model.,a
642,train_0643,train/train_0643.jpg,What is the animal in this picture?,Panda.,Koala,Lion,Cockroach,b
643,train_0644,train/train_0644.jpg,Which one of the things on the wall is pink?,Keyring,Gloves.,Hat.,The bag.,c
644,train_0645,train/train_0645.jpg,What's floating on the water in this fountain?,A piece of plastic,Leaves,Flowers,Stone,c
645,train_0646,train/train_0646.jpg,What is the animal in the picture?,Rabbit.,hamster.,Puppy,Cat.,d
646,train_0647,train/train_0647.jpg,What is the animal in the picture?,Cat.,hamster.,Puppy,Rabbit.,a
647,train_0648,train/train_0648.jpg,What is the cat doing in the picture?,She's crying.,I'm playing.,I'm sleeping.,I'm eating.,c
648,train_0649,train/train_0649.jpg,What is the animal in this picture?,Puppy,Cat.,hamster.,Rabbit.,b
649,train_0650,train/train_0650.jpg,Where did this picture come from?,Airport Terminal,History Grand Duchy,Inside the department store,The lobby of the hotel.,c
650,train_0651,train/train_0651.jpg,Is this place the most likely place to be used for what purpose?,Outdoor Markets,Music concert hall,Outdoor wedding place.,Outdoor Sports Stadium,c
651,train_0652,train/train_0652.jpg,What's the time zone in this picture where the sun is falling?,Morning sunrise.,noon,In the middle of the night.,Time for dinner,d
652,train_0653,train/train_0653.jpg,What's in India next to the road that you see here?,It's like a bench and a bike.,Subway entrance.,Bus stop.,Lights and trees,d
653,train_0654,train/train_0654.jpg,What is it that's not in this basket?,Chicken.,Spaghetti.,Apologize.,Cola.,c
654,train_0655,train/train_0655.jpg,What is this place for?,Library,Helm.,Café,The movie theater.,b
655,train_0656,train/train_0656.jpg,What is it that's not a drink or snack item that you see in this picture?,Sugar,Coffee syrup.,Fruits,Candy.,c
656,train_0657,train/train_0657.jpg,What do you see in this picture?,Computer Mouse and Keyboard,Smartphones and earphones,Books and laptops,Packed cookies and little paper bags.,d
657,train_0658,train/train_0658.jpg,What is the food that you see here?,It's chocolate and fried.,Irrigation roast.,The pizza and the pasta.,One-and-a-half.,a
658,train_0659,train/train_0659.jpg,What is the food in the picture that's baked with hot spices?,The squid.,Chicken feet.,Three-fold weight.,Chicken.,b
659,train_0660,train/train_0660.jpg,Which of the following is the food that is invisible to the image?,Pancakes.,Sand sandwich.,Salad,Spaghetti.,d
660,train_0661,train/train_0661.jpg,What is the roof of the traditional building that you see here?,Gigi and the roof.,Metal roof.,Glass roof.,The roof of the candlelight.,a
661,train_0662,train/train_0662.jpg,What is fried food that you see in this picture?,Bibimbop,Kim Chick.,I'll go with the chicken.,Pockets.,c
662,train_0663,train/train_0663.jpg,What can't you see in this picture?,A model of a classic car.,Audio amps,Plant plants.,Animal skeleton,c
663,train_0664,train/train_0664.jpg,What's not on this table?,Mirror,Book,Computer,Plants,c
664,train_0665,train/train_0665.jpg,What's the common theme of the photos displayed in this picture?,Hot - air balloon,Tooltips,Clouds,Airplane,a
665,train_0666,train/train_0666.jpg,What food can't be seen in this picture?,Fruits,Ice cream,Pancakes.,Pizza.,d
666,train_0667,train/train_0667.jpg,What can't you see in this picture?,Cup,Packaging cars,The candy from a plastic bag.,Electronic Balances,a
667,train_0668,train/train_0668.jpg,What do you see on the laptop screen in this picture?,Coffee Menu Web,Coding Action,Edit Photo,The movie.,a
668,train_0669,train/train_0669.jpg,What's the best explanation for the combination of food and drink that you see in this image?,"Coffee, cake, and fruit.","Soju, triple, and Kim Chichichichi.","Beer and pizza, and salad.","Wine, cream pasta, and cheese and nuts.",d
669,train_0670,train/train_0670.jpg,What kind of meat is the product in the image?,Chicken.,The beef.,The lamb.,Pork,d
670,train_0671,train/train_0671.jpg,What is the food that you see here?,Pizza.,Chicken.,Spaghetti.,Kimbab.,b
671,train_0672,train/train_0672.jpg,What is the food in this picture?,- Jean-Song.,Bibimbop,Kimchichichichig,A dish with cheese and eggs in it.,d
672,train_0673,train/train_0673.jpg,Where is the cat sitting in the picture?,The blanket above the bed.,Laptop on desk,The floor mat.,A cushion on the couch.,b
673,train_0674,train/train_0674.jpg,What's the best thing about this picture?,Sports Meetings,Impartials,Festival,Gilead Graduations,d
674,train_0675,train/train_0675.jpg,What is the animal that's touching the human hand in this picture?,Rabbit.,Puppy,Cat.,hamster.,c
675,train_0676,train/train_0676.jpg,What is the animal in the picture?,hamster.,Puppy,Cat.,Rabbit.,c
676,train_0677,train/train_0677.jpg,What is this thing that you see here?,Soju cap.,The wine bottle.,Beer cans,Drinks bottle lid,a
677,train_0678,train/train_0678.jpg,What's the game in this picture?,FOOOTS,Pupils,Basketball.,Tennis.,b
678,train_0679,train/train_0679.jpg,What's the fruit on the cake that you see in this picture?,Orange,Glimps,Cheri.,Blueberry,a
679,train_0680,train/train_0680.jpg,What's on the chocolate cake that you see in this picture?,Little bear-shaped chocolate.,Small sheep-shaped chocolate,Little cat-shaped chocolate.,Little bunny-shaped chocolate.,b
680,train_0681,train/train_0681.jpg,What's on the dessert in the picture?,Glimps,Chocolate,Makalong.,Cracker.,d
681,train_0682,train/train_0682.jpg,What's on the outside of the building that you see in this picture?,air-conditioning,Electric transformers,The security camera.,Solar Panel,a
682,train_0683,train/train_0683.jpg,What's the name of the building in the photo?,Lot de Tower,Gazan Tower,Koeks.,Seoul Tower,b
683,train_0684,train/train_0684.jpg,What is the hot food that you see here?,Corn.,Chicken feet.,Tofu,Eggs.,b
684,train_0685,train/train_0685.jpg,What's the shape of the cake in this picture?,Look like a cat's face.,Puppy face.,Bear face.,The shape of a rabbit's face.,c
685,train_0686,train/train_0686.jpg,What's the color of the flowers that you see in the flower beds?,Pink,purple,Blue,Yellow,d
686,train_0687,train/train_0687.jpg,What are you eating in this picture?,Pizza.,Cockroach.,hamburgers,Spaghetti.,b
687,train_0688,train/train_0688.jpg,What is it that's not in this basket?,A cookie.,Apologize.,Bread.,Beer.,b
688,train_0689,train/train_0689.jpg,What's the nature of the mountain in this picture?,A mountain of active volcanic activity.,High mountain ranges and small snowy peaks.,A mountain with deserts and dunes.,A landscape with flat mountains and meadows.,b
689,train_0690,train/train_0690.jpg,What's the name of the restaurant on the roof of the building in the photograph?,Blue oscillation,NATIONAL PARK,Infinite Rifle,Abysss.,d
690,train_0691,train/train_0691.jpg,What's the food that's usually being prepared in this picture?,Frequent bread,The Great War.,Fuck you.,Hodg,b
691,train_0692,train/train_0692.jpg,What's the main feature of the place in this picture?,We see the lake and the sea together.,There's a lot of skyscrapers in the city.,High mountains in the background.,The desert landscape is open.,a
692,train_0693,train/train_0693.jpg,When and where does the South Korean climate and energy war take place?,"July 9-11, 2025, Kim Public Convention Center.","July 9-11, 2025.","July 9-11, 2025, Busan Bexco.","July 9-11, 2025, Coex.",a
693,train_0694,train/train_0694.jpg,What's the intersection color in this picture?,Red,Blue,Green,Yellow,a
694,train_0695,train/train_0695.jpg,What are the animals that you see here?,Rabbit.,Cat.,Bird,Puppy,b
695,train_0696,train/train_0696.jpg,What is it that doesn't match the color of the clothes in this image?,White,Gray,Red,Black,c
696,train_0697,train/train_0697.jpg,What makes it so easy to carry a soda in this picture?,Plastic lid,Computer Mouse,Blue Sticks,Paper straw,c
697,train_0698,train/train_0698.jpg,What is the flower that you see here?,Rose.,SUDDEN,Sunflowers,Tulip,b
698,train_0699,train/train_0699.jpg,What is the food that two people are eating together in this picture?,Soup and Kimbab.,A hamburger and a pizza.,Sand sandwich. Kimbab.,Sand sandwich and pizza.,c
699,train_0700,train/train_0700.jpg,What is it that has a cat in the picture?,The house of a cat.,Cat food bowl,Cat toys.,Cat Tower.,d
700,train_0701,train/train_0701.jpg,What does the white doll in the picture look like?,Puppy,Rabbit.,Cat.,Bear,d
701,train_0702,train/train_0702.jpg,What's the brand of the black car that you see in the picture?,Modern Times,"Oh, Lenno.",Gennesis,GYA,c
702,train_0703,train/train_0703.jpg,Where is the car parked in this picture?,Side of the Road,Petrol,Underground parking lot,Car washrooms,d
703,train_0704,train/train_0704.jpg,What's most appropriate for the man in the picture sitting on the floor?,To play with a puppy.,To clean the chair.,To charge your cell phone.,To read a book.,a
704,train_0705,train/train_0705.jpg,What is the DEWALT product that you see in this picture?,Cell phone cases.,Kiing Accessory,Wireless earphone cases.,Secondary battery,c
705,train_0706,train/train_0706.jpg,What are people doing in this picture?,I'm exercising.,I'm camping.,I'm fishing.,Watching stars using the object telescope,d
706,train_0707,train/train_0707.jpg,What are the two car brands that you see here?,Modern and Benz.,I married Toyota.,BMW and Audi.,Kia and Pujo.,d
707,train_0708,train/train_0708.jpg,What's not included in this food?,Bob.,Pickle.,Spaghetti.,Salad,c
708,train_0709,train/train_0709.jpg,What's the color of the police car that you see in this picture?,Blue and White,Red and White,Green and White,Yellow and Black,a
709,train_0710,train/train_0710.jpg,What is the food in this picture?,berry cake.,Chocolate ice cream.,Banana shake,Masturbation,d
710,train_0711,train/train_0711.jpg,What are the characters in the picture?,A balloon doll.,Robot,The Real Animals,Comic Book Pictures,a
711,train_0712,train/train_0712.jpg,Where's the car in the photo parked?,In the middle of the road,Inside the parking lot.,Crosswalks,In front of the store.,d
712,train_0713,train/train_0713.jpg,What's the use of the wires in this image?,The Wirefer cable for the electronic circuit connection,Cable for Sound Equipment,Network cable,For the internal power supply of the computer,a
713,train_0714,train/train_0714.jpg,Where are the birds usually sitting in the picture?,Above the table,Tree branches.,A man's leg.,Window Doors,c
714,train_0715,train/train_0715.jpg,What's not the color of the fluid in the bottle in the picture?,Yellow,Blue,Green,Red,b
715,train_0716,train/train_0716.jpg,What's the character in this image?,The dress.,Mong-ryong Conan.,Dora Eman,I can't do this shit.,d
716,train_0717,train/train_0717.jpg,What is this character sitting on?,Donuts,The cake.,Cupcakes.,Chocolate,b
717,train_0718,train/train_0718.jpg,Which brand is the drink in the picture?,Coffee Bean,Duncan.,Stabbucks.,Idi.,c
718,train_0719,train/train_0719.jpg,Where did this picture come from?,Helm.,Library,The movie theater.,Café,a
719,train_0720,train/train_0720.jpg,What is it that isn't part of this food?,Pizza.,Bounce,- Jean-Song.,Kimchi.,a
720,train_0721,train/train_0721.jpg,What's the meat in this food?,Steak.,Pork barbecue.,Chicken.,hamburgers,c
721,train_0722,train/train_0722.jpg,What is the food in this picture?,hamburgers,Fuck you.,Pizza.,Chicken.,d
722,train_0723,train/train_0723.jpg,What's invisible in this food structure?,Eggs.,Bean Sprouts,Bob.,Kimchichichichig,c
723,train_0724,train/train_0724.jpg,What is the food on the right side of the plate that you see in the picture?,Pasta.,Salad,Steak.,Roast rice.,a
724,train_0725,train/train_0725.jpg,Where is this puppy lying?,On the couch.,Below the desk,floor,Puppy bed.,d
725,train_0726,train/train_0726.jpg,What is it that's not in this drawer?,Book,A battery.,Browsing,Muttish,a
726,train_0727,train/train_0727.jpg,What's a pocket-mon character of one of the dolls on this shelf?,Pikachu.,Mr. Potitto.,Yves.,Snubbing,d
727,train_0728,train/train_0728.jpg,What's not on the table?,Coffee Cup,Book,Mouse,Computer Monitor,b
728,train_0729,train/train_0729.jpg,Where is the most likely photograph of this?,"Mountains, summit.",City distance.,Port,Park,c
729,train_0730,train/train_0730.jpg,What time time was this picture taken?,Daylight,Night,Morning,Evening,b
730,train_0731,train/train_0731.jpg,When does this picture look like?,Morning,Night,Evening,It's lunch.,b
731,train_0732,train/train_0732.jpg,What's the main light color of the night sky that you see in this picture?,Yellow,Blue,Pink,Red,c
732,train_0733,train/train_0733.jpg,What's next to the beach that you see in this picture?,Parking lot.,Mountains,School,Park,a
733,train_0734,train/train_0734.jpg,What food is not included in this food set?,Don Gaggs.,Kimchi.,Soba,Salad,b
734,train_0735,train/train_0735.jpg,What can't be seen in this food structure?,SECRETARY,Kimchi.,Bounce,Half an egg.,b
735,train_0736,train/train_0736.jpg,What's the white sauce that's poured on the pizza?,Mustard.,Ketham.,Chillisos,mayonnaise,d
736,train_0737,train/train_0737.jpg,What food is not included in this meal?,Mandou,Right-Aid,Choake.,Kimchi.,c
737,train_0738,train/train_0738.jpg,What's the dessert in this picture?,Bingsoo,Cookie.,Crepe,The cake.,a
738,train_0739,train/train_0739.jpg,What's the anti-frequency that you can't see in this food structure?,Kimchi.,Bean Sprouts,Unsurprised,Snacking the Squash,a
739,train_0740,train/train_0740.jpg,What's the main dish for fried shrimps in this food set?,Shrimpy lamen,Shrimpy boy.,Shrimpy fries.,Shrimpy Charreis.,c
740,train_0741,train/train_0741.jpg,What's not the food in this food set?,Kimchichichichig,Mandou,Cocknuts,Bob.,d
741,train_0742,train/train_0742.jpg,What's the name of this food?,"Biff, bourbon.",Rost Biff.,Steak Tartar.,Biff Wellington,d
742,train_0743,train/train_0743.jpg,What are the animals that you see here?,Bird,Cat.,Puppy,Rabbit.,b
743,train_0744,train/train_0744.jpg,Where is the cat in the picture?,Above the tree,Next door to the building.,In the middle of the road,Above the car.,b
744,train_0745,train/train_0745.jpg,What time period did this picture take?,Evening,Daylight,Morning,Night,d
745,train_0746,train/train_0746.jpg,What are some of the things in this image that you need directly to charge your smartphone?,Cell phone cases.,Medicine Box,Cordless sensor kit,USB chargers and cables,d
746,train_0747,train/train_0747.jpg,Where is the cat lying in the picture?,Sand Fields,The Jandi Field,Above the tree,On the Stone Stairs,d
747,train_0748,train/train_0748.jpg,What's the color of the traffic lights that you see in this picture?,Blue,Red,Yellow,Green,b
748,train_0749,train/train_0749.jpg,What is this food?,Coldness and Mandou,Bibimbab and Kimchi,The beef and the chop.,I'm sorry.,a
749,train_0750,train/train_0750.jpg,What is the weather conditions in the sky that you see here?,Clear,Halftone,Rain,Snow,a
750,train_0751,train/train_0751.jpg,What's not on this wall shelf?,Axel.,Book,Smelly deputer.,Small plant,b
751,train_0752,train/train_0752.jpg,What are the appliances that you see in this picture?,microwave,Washer,Air conditioner,Refrigerator.,c
752,train_0753,train/train_0753.jpg,What kind of things do you see on this shelf?,Cosmetics,ELECTRONICS,Guests and Snacks,Books and Notes,c
753,train_0754,train/train_0754.jpg,What's the blue device in the picture?,lighter,Cell phone,Electronic Tobacco,Assistant Battery,c
754,train_0755,train/train_0755.jpg,What's the color of the tanner that you see in this picture?,Red,Pink,Yellow,Blue,b
755,train_0756,train/train_0756.jpg,What is it that you can't see in this room?,Gate,The ceiling lights.,Bed,Table,d
756,train_0757,train/train_0757.jpg,What do you see in this picture?,The beach and the sea.,The crossing between the highway and the city.,Mountains and rivers,Parks and trails.,b
757,train_0758,train/train_0758.jpg,What's not the drink in this picture?,Clear water,Orange juice,Green tea,Yellow Drinks,b
758,train_0759,train/train_0759.jpg,What is the drink in this picture?,Cola and Latham.,Ice Americano and hot coffee,Isty and hot chocolate.,Juzu and Espresso,b
759,train_0760,train/train_0760.jpg,What's the container in the middle of this picture?,A pottery bowl.,Tree Box,Metal tray,Glass cup,b
760,train_0761,train/train_0761.jpg,What is a food in the picture where mangoes are the main ingredient?,Fuck you.,Yogurtball,Kimchichichichig,Mangobingew,d
761,train_0762,train/train_0762.jpg,What is the space that you see in this picture?,Parking lot.,Restaurants,Library,Park,a
762,train_0763,train/train_0763.jpg,What is it that's not in this picture?,Travel charger,USB Charge Cable,Cell phone,Wireless earphones,d
763,train_0764,train/train_0764.jpg,What kind of animal does the doll in this picture look like?,Puppy,Rabbit.,Bear,Cat.,a
764,train_0765,train/train_0765.jpg,What are people doing in this picture?,I'm eating.,I'm reading a book.,I'm watching a movie.,I'm exercising.,a
765,train_0766,train/train_0766.jpg,What's the brand of the pool in this image?,Cosmos.,Black Pearl,Legend,Bugman,a
766,train_0767,train/train_0767.jpg,What's the black case on the desk?,Sunglass case.,Cell phone cases.,Cosmetic cases.,Wallet,a
767,train_0768,train/train_0768.jpg,What's in the box that you see in the image?,Inject,Money.,Poker Chip,Card Deck,c
768,train_0769,train/train_0769.jpg,What's not the soda that you see in this image?,Pocariswet,Coca-Cola,Orange juice,Beer.,b
769,train_0770,train/train_0770.jpg,What is the wood material in front of the keyboard in the photo?,Mouse Pad,The wrist braces.,Book Beds,It's a mess with your phone.,b
770,train_0771,train/train_0771.jpg,What are the white animals in the picture?,Rabbit.,Cat.,hamster.,Puppy,d
771,train_0772,train/train_0772.jpg,What's the activity that people are doing in this picture?,Read,Exercise,Coffee.,A toast to the meat.,d
772,train_0773,train/train_0773.jpg,What's the food store in this picture?,KFC,Lotderia,McDonald's,Burger King,d
773,train_0774,train/train_0774.jpg,Which one of those drinks is warm?,A drink with chocolate syrup on it.,Yellow and Fruit Drinks,A drink with Whipping cream on it.,White-covered cup.,d
774,train_0775,train/train_0775.jpg,What's not the ice cream brand in this picture?,Jewel Bar,World Conn,Luke Bar,Merona.,b
775,train_0776,train/train_0776.jpg,What's the main characteristic of the mountain that you see in this picture?,Snow-covered mountains,"High mountains, rocky mountains.",Flat hills,High-rise buildings in the city.,b
776,train_0777,train/train_0777.jpg,What's inside the glass in the picture?,Mammelelow,Candy.,A piece of fruit,A color-colored bloating ball.,d
777,train_0778,train/train_0778.jpg,What's the place in this picture?,International Buddhist Temple,Park,University.,Hospital,a
778,train_0779,train/train_0779.jpg,What does a white bowl look like next to a drink in the picture?,Cylinder,Little tub shape.,Square,Animal Appearance,b
779,train_0780,train/train_0780.jpg,Where is this picture taken?,The department store parking lot.,The park walkway.,Hospital entrance.,Before the University of Drug Abuse School,d
780,train_0781,train/train_0781.jpg,What's the food in the picture?,hamburgers,Pasta.,Sand sandwich.,Pizza.,d
781,train_0782,train/train_0782.jpg,What's the color of the flower tree in this picture?,Blue,Pink,Yellow,Red,b
782,train_0783,train/train_0783.jpg,What is the fish in this tank?,Salmon,Sonre,Ingredient,Goldfish,c
783,train_0784,train/train_0784.jpg,What is the shape of the bridge that you see in this picture?,Private officer.,Arches.,A suspension bridge,Tris Bridge,b
784,train_0785,train/train_0785.jpg,What is the bridge connected to this picture?,Two Rock Islands,Two mountains.,Two cities.,Two buildings.,a
785,train_0786,train/train_0786.jpg,What do you see in this picture?,High-rise buildings in the city.,Sea and breakwater.,Deserts and oasiss,Mountains and forests.,b
786,train_0787,train/train_0787.jpg,What is the architecture that you see here?,Bridge,Factory chimney,Towers,A lighthouse,d
787,train_0788,train/train_0788.jpg,What is a drink that you don't see in this picture?,Orange juice,"And strawberries, smoothie.",Nakcha lat.,Ice America,a
788,train_0789,train/train_0789.jpg,What do you see in this picture?,Sculpture,Flowers,Book,Picture on the wall,a
789,train_0790,train/train_0790.jpg,What is the landscape that you see here?,The rise of the sea.,The Night of the City,A landscape on the top of the mountain.,Sunset in the desert.,a
790,train_0791,train/train_0791.jpg,What is the bird that you see in this picture?,Sparrows,Eagle,Seagulls,Pigeons,c
791,train_0792,train/train_0792.jpg,What do you see in this picture?,Deserts and oasiss,Mountains and seas,It's a high-rise building in the city center.,Lakes and forests.,b
792,train_0793,train/train_0793.jpg,What kind of lights do you see in this picture?,Walllight on the wall.,Standlight on the floor.,Standlight on the desk.,Pendont lights on the ceiling.,d
793,train_0794,train/train_0794.jpg,What's on the frame in the picture?,Abstract,Leaf Pictures,Animal photos,Landscapes,b
794,train_0795,train/train_0795.jpg,What's on the table in this image?,Tablelights,Book,Cup,Laptop,a
795,train_0796,train/train_0796.jpg,How many birds are on the clock?,Two.,Three.,Four.,One.,b
796,train_0797,train/train_0797.jpg,What is the building that you see here?,Lotde World Tower,Namsan Tower,63 Buildings,Seoul Tower,b
797,train_0798,train/train_0798.jpg,What colors are the lights on the street in this picture?,"White, Orange, Red, Green","Red, white, yellow, blue.","Green, yellow, blue, white.","Red, green, blue, yellow.",b
798,train_0799,train/train_0799.jpg,What is the traditional Korean architecture in this picture?,Walls,Clown House,Yang-ok,Hanok,d
799,train_0800,train/train_0800.jpg,What's the color of the flower in this picture?,Red,Pink,Yellow,Blue,b
800,train_0801,train/train_0801.jpg,What does the stone tower that you see in this picture represent?,The balance and harmony of nature.,The architecture of the city.,Man-made sculpture exhibits,Marine biotage habitat.,a
801,train_0802,train/train_0802.jpg,Where is this sculpture located?,Seoul Station,light - state terminal,Inaugural Airport,Pusan Station,d
802,train_0803,train/train_0803.jpg,What is the red doll in this image?,Puppet.,Yang doll.,The duck doll.,Bear.,d
803,train_0804,train/train_0804.jpg,What's the color of this sculpture?,Green,Yellow,Red,Blue,a
804,train_0805,train/train_0805.jpg,What is the natural environment that you see here?,Beaches,Mountain Valley,Desert,City Park,b
805,train_0806,train/train_0806.jpg,What is the fruit that the person in the picture has?,Apologize.,The boat.,Orange,peaches,a
806,train_0807,train/train_0807.jpg,What do you see in this picture?,Tiger mask,Tiger doll.,Real Tigers,Tiger Picture,b
807,train_0808,train/train_0808.jpg,What is the cat doing in the picture?,He's riding a tree.,I'm sitting in front of you.,He's running.,I'm digging.,b
808,train_0809,train/train_0809.jpg,Who is this statue to celebrate?,General Deucalion.,The King of the Clowns,A thoracic.,THE SERIOUS KING OF THE SERVANT,a
809,train_0810,train/train_0810.jpg,Where did this picture come from?,Seoul,Man-in-law,Jejudo,Pusan,c
810,train_0811,train/train_0811.jpg,What's the place where people are walking in this picture?,"Mountains, summit.",Seaside rocks.,City Park,Around the lake.,b
811,train_0812,train/train_0812.jpg,What is the natural phenomenon in this picture?,Ice Sheet Moves,Sand dunes in the desert.,Eruption of Volcanoes,The weather and erosion of the rocks.,d
812,train_0813,train/train_0813.jpg,Where do the signs in this picture point?,"Libraries, cafes, and shops.","Topline thoughts, movies, and shops","Hospitals, schools, cafes.","Cafés, Farts, and Shops",d
813,train_0814,train/train_0814.jpg,What can't you see in this picture?,Palm Tree,Snowman,Camping tent.,Cars,b
814,train_0815,train/train_0815.jpg,What's the main ingredient of street food in this picture?,Bread and sausage.,Mandus and seawater.,Kimbag and Tee,Bounce and spring.,a
815,train_0816,train/train_0816.jpg,What do you see in the picture?,Perfume bottle.,Candle Holder,Cosmetic cases.,A bottle of soda.,a
816,train_0817,train/train_0817.jpg,What is the color of the leaves of the tree that you see here?,Red,Yellow,Green,Brown,b
817,train_0818,train/train_0818.jpg,What's not one of the things that you see in the picture?,Roller Blade,Inline skate,Skateboard,Bicycle,d
818,train_0819,train/train_0819.jpg,What are the plants that you see here?,Bamboo,Rice,Billions of Birds,pine tree,c
